Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,20,20,19029.432100000122,19035.289090000148,19029.432100000122,19042.37710000052,127.0,0.45537531130868075,0.45537531130868075,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,10,0,79,82.12151000006997,62.55730000066251,114.95120000017778,521.0,0.22768765565434038,0.0,81,81,93,110,110,110,110,110,110,110,110
,Aggregated,30,20,19000,12717.566563333456,62.55730000066251,19042.37710000052,258.3333333333333,0.6830629669630212,0.45537531130868075,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
