Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,20,20,19030.2443999999,19047.644274999948,19030.2443999999,19106.71470000034,127.0,0.4450788144129547,0.4450788144129547,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,10,0,67,74.8580800000127,59.94700000064768,95.23089999947842,521.0,0.22253940720647736,0.0,72,86,88,90,95,95,95,95,95,95,95
,Aggregated,30,20,19000,12723.38220999997,59.94700000064768,19106.71470000034,258.3333333333333,0.6676182216194321,0.4450788144129547,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
