Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,20,20,19026.89129999999,19037.97178000009,19026.89129999999,19045.68030000064,127.0,0.4459968608626537,0.4459968608626537,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,10,0,79,78.70426999988922,68.43229999958567,85.0548999997045,521.0,0.22299843043132686,0.0,82,83,84,84,85,85,85,85,85,85,85
,Aggregated,30,20,19000,12718.215943333355,68.43229999958567,19045.68030000064,258.3333333333333,0.6689952912939806,0.4459968608626537,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
