Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,574,574,50,712.0379205574989,44.12010000032751,19085.63210000011,121.20905923344948,9.712777017095538,9.712777017095538,50,51,53,53,55,59,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,32,65.71690666669383,14.727599999787344,180.275900000197,331.6666666666667,0.5076364294649236,0.33842428630994903,37,42,120,130,170,170,180,180,180,180,180
,Aggregated,604,594,50,679.9358834437171,14.727599999787344,19085.63210000011,131.66225165562915,10.220413446560462,10.051201303405486,50,51,53,53,55,67,19000,19000,19000,19000,19000
