Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,565,565,51,724.1828276105946,6.134300000667281,19084.445999999843,121.21238938053098,9.472810494179997,9.472810494179997,51,53,53,54,56,61,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,40,58.93698666659475,17.38149999982852,127.74300000000949,331.6666666666667,0.5029810881865485,0.335320725457699,41,48,110,120,120,130,130,130,130,130,130
,Aggregated,595,585,51,690.6410205041745,6.134300000667281,19084.445999999843,131.8235294117647,9.975791582366545,9.808131219637696,51,53,53,54,57,110,19000,19000,19000,19000,19000
