Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,569,569,51,719.6148752197039,23.072400000273774,19138.95119999961,121.21089630931459,9.556199771253494,9.556199771253494,51,52,53,54,56,59,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,41,56.699643333407344,9.859200000391866,116.44020000039745,331.6666666666667,0.5038418157075657,0.33589454380504374,41,61,96,100,110,110,120,120,120,120,120
,Aggregated,599,589,51,686.4137784641298,9.859200000391866,19138.95119999961,131.75125208681135,10.060041586961061,9.89209431505854,51,53,53,54,57,96,19000,19000,19000,19000,19000
