Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,20,20,19030.5455000007,19039.208335000236,19030.5455000007,19049.167400000442,127.0,0.4490810216049758,0.4490810216049758,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,10,0,73,71.8869000000268,57.99340000066877,104.47519999979704,521.0,0.2245405108024879,0.0,74,74,75,76,100,100,100,100,100,100,100
,Aggregated,30,20,19000,12716.767856666835,57.99340000066877,19049.167400000442,258.3333333333333,0.6736215324074637,0.4490810216049758,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
