Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,20,20,19027.39130000009,19045.959499999975,19027.39130000009,19135.832500000106,127.0,0.44297134349474737,0.44297134349474737,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,10,0,76,79.22533000009935,65.06510000053822,96.19430000020657,521.0,0.22148567174737369,0.0,76,79,96,96,96,96,96,96,96,96,96
,Aggregated,30,20,19000,12723.714776666684,65.06510000053822,19135.832500000106,258.3333333333333,0.6644570152421211,0.44297134349474737,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
