Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,581,581,52,706.1387177280711,10.789900000418129,19094.174400000156,121.20654044750431,9.811393775589833,9.811393775589833,52,53,54,54,56,59,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,34,55.8822166665171,20.11179999954038,114.54030000004423,331.6666666666667,0.5066124152628141,0.33774161017520943,37,46,98,100,110,110,110,110,110,110,110
,Aggregated,611,601,52,674.211229950908,10.789900000418129,19094.174400000156,131.54009819967266,10.318006190852648,10.149135385765042,52,53,54,54,56,96,19000,19000,19000,19000,19000
