Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,573,573,50,713.0013937172723,4.336699999839766,19066.56539999949,121.20942408376963,9.652843004622381,9.652843004622381,50,51,52,53,55,60,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,25,47.99384999996619,15.018299999610463,121.04529999942315,331.6666666666667,0.5053844505037897,0.33692296700252644,25,31,93,94,110,110,120,120,120,120,120
,Aggregated,603,593,49,679.9164412935257,4.336699999839766,19066.56539999949,131.6799336650083,10.158227455126172,9.989765971624909,49,51,52,53,56,89,19000,19000,19000,19000,19000
