Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,567,567,50,720.3992710758214,44.01250000046275,19047.941799999535,121.21164021164022,9.585680879654497,9.585680879654497,50,52,53,54,56,59,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,29,48.02164000002449,14.165599999614642,114.87870000019029,331.6666666666667,0.507178882521402,0.338119255014268,32,46,80,89,100,110,110,110,110,110,110
,Aggregated,597,587,50,686.6114504187462,14.165599999614642,19047.941799999535,131.78726968174203,10.0928597621759,9.923800134668765,50,52,53,54,56,75,19000,19000,19000,19000,19000
