Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,571,571,50,715.4613591943846,4.328600000008009,19078.7092999999,121.21015761821366,9.625241186896101,9.625241186896101,50,51,52,53,56,58,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,26,46.48578999998184,14.74329999928159,114.34530000042287,331.6666666666667,0.5057044406425272,0.3371362937616848,27,33,83,90,95,110,110,110,110,110,110
,Aggregated,601,591,50,682.0682359400881,4.328600000008009,19078.7092999999,131.71547420965058,10.130945627538628,9.962377480657786,50,51,52,53,56,74,19000,19000,19000,19000,19000
