Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,579,579,52,707.7222055267648,11.158100000102422,19053.08150000019,121.20725388601036,9.759844313954186,9.759844313954186,52,53,54,55,57,60,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,47,64.27464666670251,20.068899999387213,150.74800000002142,331.6666666666667,0.5056914152307869,0.3371276101538579,49,58,110,120,130,140,150,150,150,150,150
,Aggregated,609,599,52,676.0252814449882,11.158100000102422,19053.08150000019,131.57471264367817,10.265535729184974,10.096971924108043,52,53,54,55,57,83,19000,19000,19000,19000,19000
