Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyze,565,565,50,723.0472860176967,5.030400000578084,19067.68960000045,121.21238938053098,9.488447010145032,9.488447010145032,50,52,53,53,56,61,19000,19000,19000,19000,19000
POST,/api/v1/auth/login,30,20,27,49.35714333317568,18.91040000009525,109.64830000011716,331.6666666666667,0.5038113456714177,0.3358742304476118,29,33,90,98,110,110,110,110,110,110,110
,Aggregated,595,585,50,689.079715798309,5.030400000578084,19067.68960000045,131.8235294117647,9.99225835581645,9.824321240592644,50,52,53,53,56,90,19000,19000,19000,19000,19000
